192.168.1.6 - - [07/Mar/2024:11:16:04 +0530] "POST /inventory/j_security_check HTTP/1.1" 408 873
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:17:41 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:18:53 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:19:22 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:20:36 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
192.168.1.106 - - [07/Mar/2024:11:44:15 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:02 +0530] "GET /inventory/index.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:45:02 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:05 +0530] "GET /inventory/index.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:07 +0530] "GET /inventory/js/popper.min.js.map HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:07 +0530] "GET /inventory/js/popper.min.js.map HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:07 +0530] "GET /inventory/js/popper.min.js.map HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:13 +0530] "GET /inventory/logout.do HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:45:13 +0530] "GET /inventory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:45:13 +0530] "GET /inventory/ HTTP/1.1" 200 10621
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:45:13 +0530] "GET /inventory/assets/css/bootstrap.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:45:13 +0530] "GET /inventory/assets/css/font-awesome.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:45:13 +0530] "GET /inventory/assets/css/custom.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:45:13 +0530] "GET /inventory/assets/css/icomoon.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:34 +0530] "POST /inventory/j_security_check HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:34 +0530] "GET /inventory/ HTTP/1.1" 200 13696
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:34 +0530] "GET /inventory/js/popper.min.js.map HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:34 +0530] "GET /inventory/service/ajax?ic=0&id=userdefbranch,userbranch HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:11:45:34 +0530] "GET /inventory/service/ajax?ic=0&id=usermenu&login_id=admin HTTP/1.1" 200 6232
192.168.1.106 - - [07/Mar/2024:11:46:40 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
192.168.1.106 - - [07/Mar/2024:11:46:53 +0530] "POST /inventory/j_security_check HTTP/1.1" 408 873
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:50:21 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
192.168.1.106 - - [07/Mar/2024:11:52:46 +0530] "POST /inventory/j_security_check HTTP/1.1" 408 873
192.168.1.106 - - [07/Mar/2024:11:53:14 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
192.168.1.106 - - [07/Mar/2024:11:57:40 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
192.168.1.106 - - [07/Mar/2024:11:58:05 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
192.168.1.106 - - [07/Mar/2024:11:58:27 +0530] "GET /inventory/j_security_check HTTP/1.1" 200 10669
192.168.1.106 - - [07/Mar/2024:11:58:49 +0530] "GET /inventory/j_security_check HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:12:00:15 +0530] "GET /inventory/logout.do HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [07/Mar/2024:12:00:15 +0530] "GET /inventory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:12:00:15 +0530] "GET /inventory/ HTTP/1.1" 200 10621
0:0:0:0:0:0:0:1 - - [07/Mar/2024:12:00:15 +0530] "GET /inventory/assets/css/bootstrap.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [07/Mar/2024:12:00:15 +0530] "GET /inventory/assets/css/icomoon.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Mar/2024:12:00:15 +0530] "GET /inventory/assets/css/font-awesome.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [07/Mar/2024:12:00:15 +0530] "GET /inventory/assets/css/custom.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Mar/2024:14:00:24 +0530] "GET /inventory/ HTTP/1.1" 200 10621
0:0:0:0:0:0:0:1 - - [07/Mar/2024:14:00:24 +0530] "GET /inventory/assets/css/icomoon.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Mar/2024:14:00:24 +0530] "GET /inventory/assets/css/bootstrap.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [07/Mar/2024:14:00:24 +0530] "GET /inventory/assets/css/custom.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Mar/2024:14:00:24 +0530] "GET /inventory/assets/css/font-awesome.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [07/Mar/2024:14:00:24 +0530] "GET /inventory/images/cissol_logo.png HTTP/1.1" 200 9092
